imei,user_id,residence,address,birthdate,mail,job,name,company,ssn,username,registration
3590433799317661206,597,,"83585 Brian Villages Suite 793
Jeffreymouth, DC 14655",1971-05-17,wanda59@gmail.com,"Copywriter, advertising",David Dickerson,Aguirre LLC,185-26-3896,gwhite,13 apr 2021
863033069630348024,2474,,,1917-05-14,apratt@yahoo.com,,Brandon Rodriguez,Garcia Ltd,427-94-9733,herrerabrandon,"09/21/2021, 00:00:00"
8630330696303481990,855,,"345 Alexander Ford
New Jonathan, AL 49990",2024-06-08,michaelhoward@yahoo.com,,Betty Morales,"Gates, Bush and Scott",774-01-1980,gregory81,09 feb 2021
8630330696303481008,1953,,"58233 Knapp Glens
Kevinland, VA 59430",2016-01-01,ricemaria@yahoo.com,,Michelle Lee,"Ortiz, Bradley and Bowman",540-77-0681,bestjean,15 Jun 2018
863033069630348891,449,"5319 Harris Port
Rodriguezburgh, LA 48217","998 Michael Knoll Suite 714
South Christineland, TN 97163",1955-11-29,brownstephanie@hotmail.com,,Thomas Kennedy,"Cole, Smith and Evans",348-92-5242,srowe,2022-12-12
8630330696303482063,2098,,"10321 Kenneth Mountain
Emilyton, AK 51507",,eali@hotmail.com,Holiday representative,Adam Eaton,"Huffman, Anthony and Carpenter",419-22-2166,patricia97,2020/05/03
359043379931766916,2316,,"801 Lisa Village
Cruztown, MI 06399",1990-03-27,nicolepollard@yahoo.com,,Bruce Howard,Martinez-Roman,072-65-7254,jamesmartinez,2018-08-29
3590433799317662121,1164,,"24378 Danny Row
Wandafort, PW 05981",1991-07-23,brianna89@gmail.com,Holiday representative,Deanna Doyle,"Lee, Salas and Clark",094-63-2082,dan93,08 sep 2022
3590433799317661214,332,,,,lblack@gmail.com,Tourism officer,Nicholas Scott,Wright PLC,806-23-9098,pbennett,11 jan 2018
8630330696303482212,1482,,"200 Johnston Forest
East Timothyton, NC 67290",,adamskara@gmail.com,Manufacturing systems engineer,Matthew Cunningham,Owens PLC,515-40-7772,mary69,19 feb 2021
8630330696303481586,434,,"3892 Rocha Forges Suite 823
South Angela, GA 13966",1996-10-29,klewis@hotmail.com,,Travis Thomas,Taylor-Carter,841-60-8696,heatherhall,18 Oct 2022
8630330696303482055,629,,"88867 Holly Cliff Apt. 763
Lake Charles, VT 86651",1994-03-07,hunter68@gmail.com,,Aimee Lewis,Adams Inc,698-04-5829,amartin,2023/09/07
359043379931766486,1156,,"012 Vasquez Run Apt. 162
Nicoleside, MN 26158",1929-03-10,alvarezterry@yahoo.com,Contracting civil engineer,Courtney Baker,Baker-Gomez,627-88-5853,lindamarshall,2022/09/24
8630330696303481701,261,,"3298 Michele Trace
Port Marcton, FM 90270",2018-07-16,andreaaustin@yahoo.com,,Alicia Lopez,Clark Ltd,331-96-0818,cuevasjames,26 feb 2019
